eventId,eventName,eventSec,id,matchId,matchPeriod,playerId,positions,subEventId,subEventName,tags,teamId
8,Pass,1.273062999999979,88873771,1694407,1H,9620,"[{'y': 49, 'x': 49}, {'y': 49, 'x': 35}]",85,Simple pass,[{'id': 1801}],10962
8,Pass,4.732125999999994,88873773,1694407,1H,8773,"[{'y': 49, 'x': 35}, {'y': 6, 'x': 74}]",83,High pass,[{'id': 1801}],10962
1,Duel,6.6239929999999845,88873719,1694407,1H,224593,"[{'y': 94, 'x': 26}, {'y': 100, 'x': 28}]",10,Air duel,"[{'id': 702}, {'id': 1801}]",3148
1,Duel,6.896772999999996,88873774,1694407,1H,80019,"[{'y': 6, 'x': 74}, {'y': 0, 'x': 72}]",10,Air duel,"[{'id': 702}, {'id': 1801}]",10962
3,Free Kick,20.971760000000017,88873720,1694407,1H,224593,"[{'y': 100, 'x': 28}, {'y': 89, 'x': 46}]",36,Throw in,[{'id': 1801}],3148
1,Duel,22.53302500000001,88873782,1694407,1H,9403,"[{'y': 11, 'x': 54}, {'y': 2, 'x': 55}]",12,Ground defending duel,"[{'id': 703}, {'id': 1801}]",10962
1,Duel,22.672759999999982,88873721,1694407,1H,14731,"[{'y': 89, 'x': 46}, {'y': 98, 'x': 45}]",11,Ground attacking duel,"[{'id': 701}, {'id': 1802}]",3148
8,Pass,23.59415100000001,88873786,1694407,1H,7914,"[{'y': 2, 'x': 55}, {'y': 13, 'x': 61}]",85,Simple pass,[{'id': 1802}],10962
1,Duel,24.50533999999999,88873788,1694407,1H,61988,"[{'y': 13, 'x': 61}, {'y': 15, 'x': 54}]",12,Ground defending duel,"[{'id': 702}, {'id': 1801}]",10962
1,Duel,24.586510999999973,88873722,1694407,1H,3319,"[{'y': 87, 'x': 39}, {'y': 85, 'x': 46}]",11,Ground attacking duel,"[{'id': 702}, {'id': 1801}]",3148
1,Duel,25.304632000000026,88873791,1694407,1H,8773,"[{'y': 15, 'x': 54}, {'y': 18, 'x': 63}]",13,Ground loose ball duel,"[{'id': 703}, {'id': 1801}]",10962
