eventId,eventName,eventSec,id,matchId,matchPeriod,playerId,positions,subEventId,subEventName,tags,teamId
8,Pass,1.479445999999995,243798136,2517006,1H,14734,"[{'y': 50, 'x': 50}, {'y': 45, 'x': 57}]",85,Simple pass,[{'id': 1801}],2453
8,Pass,2.055158000000006,243798139,2517006,1H,15430,"[{'y': 45, 'x': 57}, {'y': 21, 'x': 61}]",85,Simple pass,[{'id': 1801}],2453
7,Others on the ball,3.653793000000007,243798144,2517006,1H,271990,"[{'y': 21, 'x': 61}, {'y': 24, 'x': 76}]",72,Touch,[],2453
8,Pass,5.289194000000009,243798145,2517006,1H,271990,"[{'y': 24, 'x': 76}, {'y': 6, 'x': 82}]",85,Simple pass,[{'id': 1801}],2453
8,Pass,7.807399999999973,243798149,2517006,1H,216074,"[{'y': 6, 'x': 82}, {'y': 48, 'x': 92}]",80,Cross,"[{'id': 401}, {'id': 801}, {'id': 1802}]",2453
7,Others on the ball,9.182123999999988,243797981,2517006,1H,16443,"[{'y': 52, 'x': 8}, {'y': 80, 'x': 24}]",71,Clearance,"[{'id': 1401}, {'id': 1802}]",2460
10,Shot,10.93449099999998,243798156,2517006,1H,15430,"[{'y': 20, 'x': 76}, {'y': 100, 'x': 100}]",100,Shot,"[{'id': 402}, {'id': 1216}, {'id': 1802}]",2453
5,Interruption,14.631395999999995,243797982,2517006,1H,0,"[{'y': 32, 'x': 0}, {'y': 0, 'x': 0}]",50,Ball out of the field,[],2460
3,Free Kick,35.062944000000016,243797983,2517006,1H,14766,"[{'y': 0, 'x': 0}, {'y': 91, 'x': 32}]",34,Goal kick,[],2460
8,Pass,39.46865200000002,243797984,2517006,1H,15399,"[{'y': 91, 'x': 32}, {'y': 69, 'x': 33}]",85,Simple pass,[{'id': 1801}],2460
8,Pass,45.14385200000004,243797985,2517006,1H,16443,"[{'y': 69, 'x': 33}, {'y': 88, 'x': 42}]",85,Simple pass,[{'id': 1801}],2460
1,Duel,47.01315899999997,243797986,2517006,1H,15399,"[{'y': 88, 'x': 42}, {'y': 100, 'x': 45}]",13,Ground loose ball duel,"[{'id': 702}, {'id': 1801}]",2460
1,Duel,47.14363900000001,243798189,2517006,1H,271990,"[{'y': 12, 'x': 58}, {'y': 0, 'x': 55}]",13,Ground loose ball duel,"[{'id': 702}, {'id': 1801}]",2453
5,Interruption,51.08374600000002,243797987,2517006,1H,0,"[{'y': 100, 'x': 45}, {'y': 0, 'x': 0}]",50,Ball out of the field,[],2460
3,Free Kick,55.13742500000001,243797988,2517006,1H,15399,"[{'y': 100, 'x': 45}, {'y': 80, 'x': 30}]",36,Throw in,[{'id': 1801}],2460
8,Pass,57.94930899999997,243797989,2517006,1H,16443,"[{'y': 80, 'x': 30}, {'y': 34, 'x': 46}]",85,Simple pass,[{'id': 1801}],2460
8,Pass,61.92938000000004,243797990,2517006,1H,221172,"[{'y': 34, 'x': 46}, {'y': 70, 'x': 59}]",83,High pass,[{'id': 1802}],2460
7,Others on the ball,63.92530899999997,243798193,2517006,1H,271990,"[{'y': 30, 'x': 41}, {'y': 24, 'x': 55}]",72,Touch,[],2453
1,Duel,65.92767000000003,243798194,2517006,1H,271990,"[{'y': 24, 'x': 55}, {'y': 49, 'x': 52}]",13,Ground loose ball duel,"[{'id': 701}, {'id': 1802}]",2453
1,Duel,66.75254099999995,243797991,2517006,1H,228980,"[{'y': 76, 'x': 45}, {'y': 51, 'x': 48}]",13,Ground loose ball duel,"[{'id': 703}, {'id': 1801}]",2460
8,Pass,68.79308500000002,243797992,2517006,1H,302600,"[{'y': 51, 'x': 48}, {'y': 14, 'x': 55}]",85,Simple pass,[{'id': 1801}],2460
8,Pass,72.84290199999998,243797993,2517006,1H,86517,"[{'y': 14, 'x': 55}, {'y': 34, 'x': 42}]",85,Simple pass,[{'id': 1801}],2460
8,Pass,74.74898599999995,243797994,2517006,1H,16303,"[{'y': 34, 'x': 42}, {'y': 70, 'x': 38}]",85,Simple pass,[{'id': 1801}],2460
8,Pass,78.26912200000004,243797995,2517006,1H,16443,"[{'y': 70, 'x': 38}, {'y': 94, 'x': 66}]",85,Simple pass,[{'id': 1801}],2460
8,Pass,80.86758899999995,243797996,2517006,1H,15399,"[{'y': 94, 'x': 66}, {'y': 66, 'x': 36}]",85,Simple pass,[{'id': 1801}],2460
8,Pass,82.43694000000005,243797997,2517006,1H,228980,"[{'y': 66, 'x': 36}, {'y': 41, 'x': 34}]",85,Simple pass,[{'id': 1801}],2460
8,Pass,87.80300599999998,243797998,2517006,1H,221172,"[{'y': 41, 'x': 34}, {'y': 70, 'x': 31}]",85,Simple pass,[{'id': 1801}],2460
8,Pass,92.22274700000003,243797999,2517006,1H,16443,"[{'y': 70, 'x': 31}, {'y': 70, 'x': 47}]",85,Simple pass,[{'id': 1801}],2460
8,Pass,93.14166599999999,243798000,2517006,1H,302600,"[{'y': 70, 'x': 47}, {'y': 64, 'x': 32}]",85,Simple pass,[{'id': 1801}],2460
8,Pass,96.49811,243798001,2517006,1H,16443,"[{'y': 64, 'x': 32}, {'y': 50, 'x': 63}]",85,Simple pass,[{'id': 1801}],2460
8,Pass,98.11363500000004,243798002,2517006,1H,228980,"[{'y': 50, 'x': 63}, {'y': 58, 'x': 56}]",85,Simple pass,[{'id': 1801}],2460
8,Pass,100.58882200000005,243798003,2517006,1H,302600,"[{'y': 58, 'x': 56}, {'y': 23, 'x': 48}]",85,Simple pass,[{'id': 1801}],2460
8,Pass,104.60379499999999,243798004,2517006,1H,16303,"[{'y': 23, 'x': 48}, {'y': 28, 'x': 35}]",85,Simple pass,[{'id': 1801}],2460
8,Pass,107.09779700000001,243798005,2517006,1H,221172,"[{'y': 28, 'x': 35}, {'y': 48, 'x': 59}]",85,Simple pass,[{'id': 1801}],2460
1,Duel,109.15090099999998,243798006,2517006,1H,228980,"[{'y': 48, 'x': 59}, {'y': 56, 'x': 66}]",11,Ground attacking duel,"[{'id': 504}, {'id': 703}, {'id': 1801}]",2460
1,Duel,109.43189400000006,243798201,2517006,1H,15430,"[{'y': 52, 'x': 41}, {'y': 44, 'x': 34}]",12,Ground defending duel,"[{'id': 503}, {'id': 701}, {'id': 1802}]",2453
8,Pass,111.314213,243798007,2517006,1H,228980,"[{'y': 56, 'x': 66}, {'y': 88, 'x': 67}]",85,Simple pass,[{'id': 1801}],2460
8,Pass,113.87417500000004,243798008,2517006,1H,15399,"[{'y': 88, 'x': 67}, {'y': 87, 'x': 85}]",85,Simple pass,[{'id': 1801}],2460
8,Pass,119.928675,243798010,2517006,1H,223560,"[{'y': 87, 'x': 85}, {'y': 72, 'x': 59}]",85,Simple pass,[{'id': 1801}],2460
8,Pass,123.02273300000002,243798011,2517006,1H,16443,"[{'y': 72, 'x': 59}, {'y': 30, 'x': 67}]",85,Simple pass,[{'id': 1801}],2460
10,Shot,126.35004000000004,243798012,2517006,1H,221172,"[{'y': 30, 'x': 67}, {'y': 0, 'x': 0}]",100,Shot,"[{'id': 401}, {'id': 1215}, {'id': 1802}]",2460
5,Interruption,130.885317,243798013,2517006,1H,0,"[{'y': 28, 'x': 100}, {'y': 0, 'x': 0}]",50,Ball out of the field,[],2460
3,Free Kick,150.48052900000005,243798208,2517006,1H,19525,"[{'y': 100, 'x': 100}, {'y': 25, 'x': 54}]",34,Goal kick,[],2453
1,Duel,153.78250400000002,243798228,2517006,1H,336829,"[{'y': 25, 'x': 54}, {'y': 15, 'x': 71}]",13,Ground loose ball duel,"[{'id': 702}, {'id': 1801}]",2453
1,Duel,154.81562299999996,243798014,2517006,1H,15399,"[{'y': 75, 'x': 46}, {'y': 85, 'x': 29}]",13,Ground loose ball duel,"[{'id': 702}, {'id': 1801}]",2460
1,Duel,155.533362,243798229,2517006,1H,271990,"[{'y': 15, 'x': 71}, {'y': 24, 'x': 70}]",13,Ground loose ball duel,"[{'id': 701}, {'id': 1802}]",2453
1,Duel,156.78880600000002,243798015,2517006,1H,16443,"[{'y': 85, 'x': 29}, {'y': 76, 'x': 30}]",13,Ground loose ball duel,"[{'id': 703}, {'id': 1801}]",2460
8,Pass,159.05956400000002,243798016,2517006,1H,16443,"[{'y': 76, 'x': 30}, {'y': 55, 'x': 13}]",85,Simple pass,[{'id': 1801}],2460
8,Pass,163.98803399999997,243798017,2517006,1H,14766,"[{'y': 55, 'x': 13}, {'y': 26, 'x': 21}]",85,Simple pass,[{'id': 1801}],2460
8,Pass,166.09529099999997,243798018,2517006,1H,221172,"[{'y': 26, 'x': 21}, {'y': 34, 'x': 35}]",85,Simple pass,[{'id': 1801}],2460
1,Duel,167.46597799999995,243798019,2517006,1H,16303,"[{'y': 34, 'x': 35}, {'y': 37, 'x': 41}]",11,Ground attacking duel,"[{'id': 504}, {'id': 701}, {'id': 1802}]",2460
