eventId,eventName,eventSec,id,matchId,matchPeriod,playerId,positions,subEventId,subEventName,tags,teamId
8,Pass,2.038452000000006,258700810,2057960,1H,4338,"[{'y': 48, 'x': 50}, {'y': 51, 'x': 33}]",85,Simple pass,[{'id': 1801}],1598
8,Pass,3.540836000000013,258700811,2057960,1H,3346,"[{'y': 51, 'x': 33}, {'y': 20, 'x': 34}]",85,Simple pass,[{'id': 1801}],1598
8,Pass,7.182770000000005,258700812,2057960,1H,3306,"[{'y': 20, 'x': 34}, {'y': 5, 'x': 37}]",85,Simple pass,[{'id': 1801}],1598
8,Pass,8.406303999999977,258700813,2057960,1H,3269,"[{'y': 5, 'x': 37}, {'y': 23, 'x': 32}]",85,Simple pass,[{'id': 1801}],1598
8,Pass,10.76771100000002,258700814,2057960,1H,3306,"[{'y': 23, 'x': 32}, {'y': 61, 'x': 30}]",85,Simple pass,[{'id': 1801}],1598
8,Pass,14.536311000000012,258700815,2057960,1H,3341,"[{'y': 61, 'x': 30}, {'y': 22, 'x': 38}]",85,Simple pass,[{'id': 1801}],1598
8,Pass,18.83250700000002,258700817,2057960,1H,3306,"[{'y': 22, 'x': 38}, {'y': 29, 'x': 48}]",85,Simple pass,[{'id': 1801}],1598
8,Pass,19.987238999999988,258700818,2057960,1H,3353,"[{'y': 29, 'x': 48}, {'y': 22, 'x': 32}]",85,Simple pass,[{'id': 1801}],1598
8,Pass,20.923449000000005,258700820,2057960,1H,3306,"[{'y': 22, 'x': 32}, {'y': 15, 'x': 39}]",85,Simple pass,[{'id': 1801}],1598
8,Pass,22.302554999999984,258700824,2057960,1H,3563,"[{'y': 15, 'x': 39}, {'y': 29, 'x': 34}]",85,Simple pass,[{'id': 1801}],1598
8,Pass,25.059529999999995,258700826,2057960,1H,3306,"[{'y': 29, 'x': 34}, {'y': 92, 'x': 73}]",83,High pass,[{'id': 1801}],1598
1,Duel,27.98323399999998,258700827,2057960,1H,8317,"[{'y': 92, 'x': 73}, {'y': 92, 'x': 63}]",10,Air duel,"[{'id': 701}, {'id': 1802}]",1598
1,Duel,28.19655499999999,258700816,2057960,1H,28907,"[{'y': 8, 'x': 27}, {'y': 8, 'x': 37}]",10,Air duel,"[{'id': 703}, {'id': 1801}]",9905
1,Duel,31.01131700000002,258700819,2057960,1H,243588,"[{'y': 8, 'x': 37}, {'y': 0, 'x': 23}]",11,Ground attacking duel,"[{'id': 702}, {'id': 1801}]",9905
1,Duel,31.537987999999984,258700830,2057960,1H,3304,"[{'y': 92, 'x': 63}, {'y': 100, 'x': 77}]",12,Ground defending duel,"[{'id': 702}, {'id': 1801}]",1598
3,Free Kick,37.97113000000002,258700822,2057960,1H,28907,"[{'y': 0, 'x': 23}, {'y': 23, 'x': 34}]",36,Throw in,[{'id': 1801}],9905
8,Pass,38.813728000000026,258700823,2057960,1H,37762,"[{'y': 23, 'x': 34}, {'y': 7, 'x': 29}]",85,Simple pass,[{'id': 1801}],9905
1,Duel,40.11583400000001,258700833,2057960,1H,8317,"[{'y': 93, 'x': 71}, {'y': 90, 'x': 67}]",12,Ground defending duel,"[{'id': 504}, {'id': 703}, {'id': 1801}]",1598
