birthArea,birthDate,currentTeamId,firstName,lastName,middleName,passportArea,shortName,wyId
"{'id': 76, 'alpha2code': 'BR', 'alpha3code': 'BRA', 'name': 'Brazil'}",,0,César Domingo,Mendiondo López,,"{'id': 76, 'alpha2code': 'BR', 'alpha3code': 'BRA', 'name': 'Brazil'}",Cesar Domingo,275580
"{'id': 276, 'alpha2code': 'DE', 'alpha3code': 'DEU', 'name': 'Germany'}",1945-05-09,0,Josef,Heynckes,,"{'id': 276, 'alpha2code': 'DE', 'alpha3code': 'DEU', 'name': 'Germany'}",J. Heynckes,14710
"{'id': 380, 'alpha2code': 'IT', 'alpha3code': 'ITA', 'name': 'Italy'}",1956-06-16,0,Giovanni,De Biasi,,"{'id': 380, 'alpha2code': 'IT', 'alpha3code': 'ITA', 'name': 'Italy'}",G. De Biasi,135480
"{'id': 724, 'alpha2code': 'ES', 'alpha3code': 'ESP', 'name': 'Spain'}",1965-08-14,674,Marcelino,García Toral,,"{'id': 724, 'alpha2code': 'ES', 'alpha3code': 'ESP', 'name': 'Spain'}",Marcelino,210074
"{'id': 276, 'alpha2code': 'DE', 'alpha3code': 'DEU', 'name': 'Germany'}",1974-04-02,0,Tayfun,Korkut,,"{'id': 792, 'alpha2code': 'TR', 'alpha3code': 'TUR', 'name': 'Turkey'}",T. Korkut,293398
"{'id': 724, 'alpha2code': 'ES', 'alpha3code': 'ESP', 'name': 'Spain'}",1964-02-09,676,Ernesto,Valverde Tejedor,,"{'id': 724, 'alpha2code': 'ES', 'alpha3code': 'ESP', 'name': 'Spain'}",Ernesto Valverde,92894
"{'id': 724, 'alpha2code': 'ES', 'alpha3code': 'ESP', 'name': 'Spain'}",1967-04-22,0,Juan Carlos,Unzué Labiano,,"{'id': 724, 'alpha2code': 'ES', 'alpha3code': 'ESP', 'name': 'Spain'}",Unzué,3880
"{'id': 276, 'alpha2code': 'DE', 'alpha3code': 'DEU', 'name': 'Germany'}",1967-12-29,0,Dirk,Schuster,,"{'id': 276, 'alpha2code': 'DE', 'alpha3code': 'DEU', 'name': 'Germany'}",D. Schuster,17121
"{'id': 380, 'alpha2code': 'IT', 'alpha3code': 'ITA', 'name': 'Italy'}",1969-07-31,0,Antonio,Conte,,"{'id': 380, 'alpha2code': 'IT', 'alpha3code': 'ITA', 'name': 'Italy'}",A. Conte,20454
"{'id': 32, 'alpha2code': 'AR', 'alpha3code': 'ARG', 'name': 'Argentina'}",1958-02-10,0,Ricardo Alberto,Gareca Nardi,,"{'id': 32, 'alpha2code': 'AR', 'alpha3code': 'ARG', 'name': 'Argentina'}",R. Gareca,86604
"{'id': 276, 'alpha2code': 'DE', 'alpha3code': 'DEU', 'name': 'Germany'}",1969-08-17,0,Markus ,Gisdol,,"{'id': 276, 'alpha2code': 'DE', 'alpha3code': 'DEU', 'name': 'Germany'}",M. Gisdol,259751
"{'id': 276, 'alpha2code': 'DE', 'alpha3code': 'DEU', 'name': 'Germany'}",1953-06-28,0,Gernot,Rohr,,"{'id': 276, 'alpha2code': 'DE', 'alpha3code': 'DEU', 'name': 'Germany'}",G. Rohr,142913
"{'id': 276, 'alpha2code': 'DE', 'alpha3code': 'DEU', 'name': 'Germany'}",1964-09-12,2454,Dieter,Hecking,,"{'id': 276, 'alpha2code': 'DE', 'alpha3code': 'DEU', 'name': 'Germany'}",D. Hecking,15114
"{'id': 380, 'alpha2code': 'IT', 'alpha3code': 'ITA', 'name': 'Italy'}",1974-06-18,3176,Vincenzo,Montella,,"{'id': 380, 'alpha2code': 'IT', 'alpha3code': 'ITA', 'name': 'Italy'}",V. Montella,21061
"{'id': 380, 'alpha2code': 'IT', 'alpha3code': 'ITA', 'name': 'Italy'}",1964-05-07,0,Giuseppe,Iachini,,"{'id': 380, 'alpha2code': 'IT', 'alpha3code': 'ITA', 'name': 'Italy'}",G. Iachini,20603
"{'id': 276, 'alpha2code': 'DE', 'alpha3code': 'DEU', 'name': 'Germany'}",1966-02-08,2451,Bruno,Labbadia,,"{'id': 276, 'alpha2code': 'DE', 'alpha3code': 'DEU', 'name': 'Germany'}",B. Labbadia,14735
"{'id': 752, 'alpha2code': 'SE', 'alpha3code': 'SWE', 'name': 'Sweden'}",1948-07-16,0,Lars,Lagerbäck,,"{'id': 752, 'alpha2code': 'SE', 'alpha3code': 'SWE', 'name': 'Sweden'}",L. Lagerbäck,210205
"{'id': 724, 'alpha2code': 'ES', 'alpha3code': 'ESP', 'name': 'Spain'}",1965-05-03,692,Francisco ,Escriba Segura,,"{'id': 724, 'alpha2code': 'ES', 'alpha3code': 'ESP', 'name': 'Spain'}",Fran Escribá,225952
"{'id': 250, 'alpha2code': 'FR', 'alpha3code': 'FRA', 'name': 'France'}",1965-10-05,3789,Christophe,Pélissier,,"{'id': 250, 'alpha2code': 'FR', 'alpha3code': 'FRA', 'name': 'France'}",C. Pélissier,26812
"{'id': 380, 'alpha2code': 'IT', 'alpha3code': 'ITA', 'name': 'Italy'}",1976-04-05,3162,Simone,Inzaghi,,"{'id': 380, 'alpha2code': 'IT', 'alpha3code': 'ITA', 'name': 'Italy'}",S. Inzaghi,251025
"{'id': 250, 'alpha2code': 'FR', 'alpha3code': 'FRA', 'name': 'France'}",1964-02-20,3771,Rudi,Garcia,,"{'id': 250, 'alpha2code': 'FR', 'alpha3code': 'FRA', 'name': 'France'}",R. Garcia,25691
"{'id': 380, 'alpha2code': 'IT', 'alpha3code': 'ITA', 'name': 'Italy'}",1950-08-23,0,Luigi,Delneri,,"{'id': 380, 'alpha2code': 'IT', 'alpha3code': 'ITA', 'name': 'Italy'}",L. Delneri,210152
"{'id': 380, 'alpha2code': 'IT', 'alpha3code': 'ITA', 'name': 'Italy'}",1967-08-11,3159,Massimiliano,Allegri,,"{'id': 380, 'alpha2code': 'IT', 'alpha3code': 'ITA', 'name': 'Italy'}",M. Allegri,20386
"{'id': 756, 'alpha2code': 'CH', 'alpha3code': 'CHE', 'name': 'Switzerland'}",1967-04-12,2481,Martin,Schmidt,,"{'id': 756, 'alpha2code': 'CH', 'alpha3code': 'CHE', 'name': 'Switzerland'}",M. Schmidt,18702
"{'id': 724, 'alpha2code': 'ES', 'alpha3code': 'ESP', 'name': 'Spain'}",1963-02-05,0,Francisco Martín,Ayestarán Barandiarán,,"{'id': 724, 'alpha2code': 'ES', 'alpha3code': 'ESP', 'name': 'Spain'}",Pako Ayestarán,295160
"{'id': 724, 'alpha2code': 'ES', 'alpha3code': 'ESP', 'name': 'Spain'}",1970-04-19,696,Abelardo,Fernández Antuña,,"{'id': 724, 'alpha2code': 'ES', 'alpha3code': 'ESP', 'name': 'Spain'}",Abelardo,230918
"{'id': 858, 'alpha2code': 'UY', 'alpha3code': 'URY', 'name': 'Uruguay'}",1975-04-16,15444,Diego Martín,Alonso López,,"{'id': 858, 'alpha2code': 'UY', 'alpha3code': 'URY', 'name': 'Uruguay'}",D. Alonso,116503
"{'id': 348, 'alpha2code': 'HU', 'alpha3code': 'HUN', 'name': 'Hungary'}",1976-03-16,2457,Pál,Dárdai,,"{'id': 348, 'alpha2code': 'HU', 'alpha3code': 'HUN', 'name': 'Hungary'}",P. Dárdai,18987
"{'id': 724, 'alpha2code': 'ES', 'alpha3code': 'ESP', 'name': 'Spain'}",1960-04-16,1613,Rafael,Benítez Maudes,,"{'id': 724, 'alpha2code': 'ES', 'alpha3code': 'ESP', 'name': 'Spain'}",Rafael Benítez,210700
"{'id': 276, 'alpha2code': 'DE', 'alpha3code': 'DEU', 'name': 'Germany'}",1971-10-19,0,David,Wagner,,"{'id': 840, 'alpha2code': 'US', 'alpha3code': 'USA', 'name': 'United States'}",D. Wagner,18572
"{'id': 191, 'alpha2code': 'HR', 'alpha3code': 'HRV', 'name': 'Croatia'}",1953-09-29,0,Ante,Čačić,,"{'id': 191, 'alpha2code': 'HR', 'alpha3code': 'HRV', 'name': 'Croatia'}",A. Čačić,69952
"{'id': 32, 'alpha2code': 'AR', 'alpha3code': 'ARG', 'name': 'Argentina'}",1968-06-07,0,Juan Antonio,Pizzi Torroja,,"{'id': 724, 'alpha2code': 'ES', 'alpha3code': 'ESP', 'name': 'Spain'}",Pizzi,86569
"{'id': 724, 'alpha2code': 'ES', 'alpha3code': 'ESP', 'name': 'Spain'}",1971-07-04,723,Imanol,Alguacil Barrenetxea,,"{'id': 724, 'alpha2code': 'ES', 'alpha3code': 'ESP', 'name': 'Spain'}",Imanol Alguacil,355598
"{'id': 250, 'alpha2code': 'FR', 'alpha3code': 'FRA', 'name': 'France'}",1960-11-27,0,Patrice,Garande,,"{'id': 250, 'alpha2code': 'FR', 'alpha3code': 'FRA', 'name': 'France'}",P. Garande,210513
"{'id': 380, 'alpha2code': 'IT', 'alpha3code': 'ITA', 'name': 'Italy'}",1968-12-27,3235,Massimo,Rastelli,,"{'id': 380, 'alpha2code': 'IT', 'alpha3code': 'ITA', 'name': 'Italy'}",M. Rastelli,23551
"{'id': 620, 'alpha2code': 'PT', 'alpha3code': 'PRT', 'name': 'Portugal'}",1965-12-04,0,Carlos Augusto,Soares da Costa Faria Carvalhal,,"{'id': 620, 'alpha2code': 'PT', 'alpha3code': 'PRT', 'name': 'Portugal'}",Carlos Carvalhal,32573
"{'id': 276, 'alpha2code': 'DE', 'alpha3code': 'DEU', 'name': 'Germany'}",1963-01-25,5187,Bernd,Storck,,"{'id': 276, 'alpha2code': 'DE', 'alpha3code': 'DEU', 'name': 'Germany'}",B. Storck,210902
"{'id': 40, 'alpha2code': 'AT', 'alpha3code': 'AUT', 'name': 'Austria'}",1967-08-09,1619,Ralph,Hasenhüttl,,"{'id': 40, 'alpha2code': 'AT', 'alpha3code': 'AUT', 'name': 'Austria'}",R. Hasenhüttl,15824
"{'id': 724, 'alpha2code': 'ES', 'alpha3code': 'ESP', 'name': 'Spain'}",1970-04-18,0,Francisco,Jémez Martín,,"{'id': 724, 'alpha2code': 'ES', 'alpha3code': 'ESP', 'name': 'Spain'}",Paco Jémez,4258
"{'id': 826, 'alpha2code': 'EN', 'alpha3code': 'XEN', 'name': 'England'}",1959-05-02,0,Gary,Megson,,"{'id': 826, 'alpha2code': 'EN', 'alpha3code': 'XEN', 'name': 'England'}",G. Megson,9454
"{'id': 724, 'alpha2code': 'ES', 'alpha3code': 'ESP', 'name': 'Spain'}",1963-02-28,714,José ,Mel Pérez,,"{'id': 724, 'alpha2code': 'ES', 'alpha3code': 'ESP', 'name': 'Spain'}",Pepe Mel,167037
"{'id': 756, 'alpha2code': 'CH', 'alpha3code': 'CHE', 'name': 'Switzerland'}",1967-08-02,3164,Marco,Giampaolo,,"{'id': 380, 'alpha2code': 'IT', 'alpha3code': 'ITA', 'name': 'Italy'}",M. Giampaolo,210121
"{'id': 276, 'alpha2code': 'DE', 'alpha3code': 'DEU', 'name': 'Germany'}",1971-04-01,0,Christian,Titz,,"{'id': 276, 'alpha2code': 'DE', 'alpha3code': 'DEU', 'name': 'Germany'}",C. Titz,228386
"{'id': 170, 'alpha2code': 'CO', 'alpha3code': 'COL', 'name': 'Colombia'}",1961-06-08,0,Juan Carlos,Osorio Arbeláez,,"{'id': 170, 'alpha2code': 'CO', 'alpha3code': 'COL', 'name': 'Colombia'}",J. Osorio,112633
"{'id': 380, 'alpha2code': 'IT', 'alpha3code': 'ITA', 'name': 'Italy'}",1963-09-11,3254,Marco,Baroni,,"{'id': 380, 'alpha2code': 'IT', 'alpha3code': 'ITA', 'name': 'Italy'}",M. Baroni,246913
"{'id': 724, 'alpha2code': 'ES', 'alpha3code': 'ESP', 'name': 'Spain'}",1965-02-02,9134,Enrique ,Sánchez Flores,,"{'id': 724, 'alpha2code': 'ES', 'alpha3code': 'ESP', 'name': 'Spain'}",Quique Sánchez Flores,169425
"{'id': 756, 'alpha2code': 'CH', 'alpha3code': 'CHE', 'name': 'Switzerland'}",1960-11-11,6407,Marcel,Koller,,"{'id': 756, 'alpha2code': 'CH', 'alpha3code': 'CHE', 'name': 'Switzerland'}",M. Koller,135542
"{'id': 276, 'alpha2code': 'DE', 'alpha3code': 'DEU', 'name': 'Germany'}",1967-06-16,1612,Jürgen,Klopp,,"{'id': 276, 'alpha2code': 'DE', 'alpha3code': 'DEU', 'name': 'Germany'}",J. Klopp,14791
"{'id': 32, 'alpha2code': 'AR', 'alpha3code': 'ARG', 'name': 'Argentina'}",1971-10-05,712,Mauricio,Pellegrino,,"{'id': 32, 'alpha2code': 'AR', 'alpha3code': 'ARG', 'name': 'Argentina'}",M. Pellegrino,254174
"{'id': 1013, 'alpha2code': 'WA', 'alpha3code': 'XWA', 'name': 'Wales'}",1970-06-10,22275,Chris,Coleman,,"{'id': 1013, 'alpha2code': 'WA', 'alpha3code': 'XWA', 'name': 'Wales'}",C. Coleman,136439
"{'id': 724, 'alpha2code': 'ES', 'alpha3code': 'ESP', 'name': 'Spain'}",1971-11-03,1609,Unai,Emery Etxegoien,,"{'id': 724, 'alpha2code': 'ES', 'alpha3code': 'ESP', 'name': 'Spain'}",Unai Emery,3265
"{'id': 380, 'alpha2code': 'IT', 'alpha3code': 'ITA', 'name': 'Italy'}",1964-01-06,0,Davide,Ballardini,,"{'id': 380, 'alpha2code': 'IT', 'alpha3code': 'ITA', 'name': 'Italy'}",D. Ballardini,20860
"{'id': 826, 'alpha2code': 'EN', 'alpha3code': 'XEN', 'name': 'England'}",1970-09-03,0,Gareth,Southgate,,"{'id': 826, 'alpha2code': 'EN', 'alpha3code': 'XEN', 'name': 'England'}",G. Southgate,276858
"{'id': 250, 'alpha2code': 'FR', 'alpha3code': 'FRA', 'name': 'France'}",1955-04-05,16444,Christian,Gourcuff,,"{'id': 250, 'alpha2code': 'FR', 'alpha3code': 'FRA', 'name': 'France'}",C. Gourcuff,26012
"{'id': 528, 'alpha2code': 'NL', 'alpha3code': 'NLD', 'name': 'Netherlands'}",1962-09-22,0,Andries,Jonker,,"{'id': 528, 'alpha2code': 'NL', 'alpha3code': 'NLD', 'name': 'Netherlands'}",A. Jonker,145007
"{'id': 724, 'alpha2code': 'ES', 'alpha3code': 'ESP', 'name': 'Spain'}",1966-10-14,0,José Manuel,González López,,"{'id': 724, 'alpha2code': 'ES', 'alpha3code': 'ESP', 'name': 'Spain'}",José González,4054
"{'id': 826, 'alpha2code': 'EN', 'alpha3code': 'XEN', 'name': 'England'}",1977-11-29,1659,Eddie,Howe,,"{'id': 826, 'alpha2code': 'EN', 'alpha3code': 'XEN', 'name': 'England'}",E. Howe,8934
"{'id': 70, 'alpha2code': 'BA', 'alpha3code': 'BIH', 'name': 'Bosnia-Herzegovina'}",1963-08-15,0,Vladimir,Petković,,"{'id': 756, 'alpha2code': 'CH', 'alpha3code': 'CHE', 'name': 'Switzerland'}",V. Petković,210701
"{'id': 380, 'alpha2code': 'IT', 'alpha3code': 'ITA', 'name': 'Italy'}",1973-08-24,12814,Fabio,Pecchia,,"{'id': 380, 'alpha2code': 'IT', 'alpha3code': 'ITA', 'name': 'Italy'}",F. Pecchia,210254
