birthArea,birthDate,currentNationalTeamId,currentTeamId,firstName,foot,height,lastName,middleName,passportArea,role,shortName,weight,wyId
"{'name': 'Turkey', 'id': '792', 'alpha3code': 'TUR', 'alpha2code': 'TR'}",1989-06-17,4687,4502,Harun,right,187,Tekin,,"{'name': 'Turkey', 'id': '792', 'alpha3code': 'TUR', 'alpha2code': 'TR'}","{'code2': 'GK', 'code3': 'GKP', 'name': 'Goalkeeper'}",H. Tekin,78,32777
"{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",1999-01-23,4423,3775,Malang,left,182,Sarr,,"{'name': 'Senegal', 'id': '686', 'alpha3code': 'SEN', 'alpha2code': 'SN'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",M. Sarr,73,393228
"{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",1998-10-26,null,3772,Over,,176,Mandanda,,"{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}","{'code2': 'GK', 'code3': 'GKP', 'name': 'Goalkeeper'}",O. Mandanda,72,393230
"{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",1990-03-06,19314,683,Alfred John Momar,right,187,N'Diaye,,"{'name': 'Senegal', 'id': '686', 'alpha3code': 'SEN', 'alpha2code': 'SN'}","{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",A. N'Diaye,82,32793
"{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",1999-05-25,null,2975,Ibrahima,right,192,Konaté,,"{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",I. Konaté,84,393247
"{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}",1989-04-22,664,676,Jasper,right,185,Cillessen,,"{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}","{'code2': 'GK', 'code3': 'GKP', 'name': 'Goalkeeper'}",J. Cillessen,83,33
"{'name': 'Belgium', 'id': '56', 'alpha3code': 'BEL', 'alpha2code': 'BE'}",1989-03-02,5629,1624,Toby,right,187,Alderweireld,,"{'name': 'Belgium', 'id': '56', 'alpha3code': 'BEL', 'alpha2code': 'BE'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",T. Alderweireld,91,36
"{'name': 'Belgium', 'id': '56', 'alpha3code': 'BEL', 'alpha2code': 'BE'}",1987-04-24,5629,1624,Jan,left,189,Vertonghen,,"{'name': 'Belgium', 'id': '56', 'alpha3code': 'BEL', 'alpha2code': 'BE'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",J. Vertonghen,88,48
"{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",1994-08-09,null,3783,Alexander,right,182,Djiku,,"{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",A. Djiku,74,229427
"{'name': 'Denmark', 'id': '208', 'alpha3code': 'DNK', 'alpha2code': 'DK'}",1992-02-14,7712,1624,Christian ,right,180,Dannemann Eriksen,,"{'name': 'Denmark', 'id': '208', 'alpha3code': 'DNK', 'alpha2code': 'DK'}","{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",C. Eriksen,76,54
"{'name': 'Austria', 'id': '40', 'alpha3code': 'AUT', 'alpha2code': 'AT'}",1994-03-17,null,2975,Marcel,right,177,Sabitzer,,"{'name': 'Austria', 'id': '40', 'alpha3code': 'AUT', 'alpha2code': 'AT'}","{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",M. Sabitzer,74,65596
"{'name': 'Iceland', 'id': '352', 'alpha3code': 'ISL', 'alpha2code': 'IS'}",1990-03-14,null,3770,Kolbeinn,right,186,Sigþórsson,,"{'name': 'Iceland', 'id': '352', 'alpha3code': 'ISL', 'alpha2code': 'IS'}","{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",K. Sigþórsson,84,66
"{'name': 'Mali', 'id': '466', 'alpha3code': 'MLI', 'alpha2code': 'ML'}",1992-01-01,null,3795,Charles,left,180,Traoré,,"{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",C. Traoré,74,393284
"{'name': 'Finland', 'id': '246', 'alpha3code': 'FIN', 'alpha2code': 'FI'}",1985-09-29,4849,2443,Niklas,left,183,Moisander,,"{'name': 'Finland', 'id': '246', 'alpha3code': 'FIN', 'alpha2code': 'FI'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",N. Moisander,75,77
